author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,S pass
5747022,2007-12-07 06:25:18+00:00, ,477356922,en,0,0,0,0, ,hopping the free wi-fi in the Singapore Airlines Silver Kris lounge. This next hour's wait should pass quickly. time to download my feeds,S pass
8971342,2008-09-28 11:47:23+00:00, ,938022002,en,0,0,0,0, ,Hoping for rain during the Singapore Grand Prix as it's "Almost impossible to pass" - great choice for a race track that :-(,S pass
8898342,2008-09-15 15:02:36+00:00, ,922157816,en,0,0,0,0, ,Police step up enforcement against foreign sex workers on social visit pass: SINGAPORE: Police are s.. http://tinyurl.com/5rvtwl,S pass
8898342,2008-10-20 16:02:54+00:00, ,967626936,en,0,0,0,0, ,MOM's Employment Pass Online system wins two awards: SINGAPORE: The Manpower Ministry's (MOM) Employ.. http://tinyurl.com/6zjnc7,S pass
14685905,2008-10-13 14:27:17+00:00, ,957654162,en,0,0,0,0, ,is having a snack attack.  Pass the Good N Plenty's please.  Oh how I wish I could get those in Singapore!,S pass
8898342,2008-12-22 13:18:45+00:00, ,1072199159,en,0,0,0,0, ,"MOE releases data on pass rates at PSLE, GCE 'O' and 'A' levels: SINGAPORE: Singapore's primary and secondary sc.. http://tinyurl.com/9nruzl",S pass
4798991,2009-01-03 14:26:42+00:00, ,1093420106,en,0,0,0,0, ,GEEK PASS from Geek Terminal Singapore: Get an exclusive identity at Geek Terminal Singapore - Singapore&#8217;s.. http://tinyurl.com/9d66c2,S pass
14740499,2009-02-07 17:10:15+00:00, ,1186688383,en,0,0,0,0, ,[News] More theatre productions pass uncensored in S&#8217;pore: SINGAPORE: From poking fun at political f.. http://tinyurl.com/blwe8u,S pass
8898342,2009-02-07 16:43:59+00:00, ,1186626559,en,0,0,0,0, ,More theatre productions pass uncensored in S'pore: SINGAPORE: From poking fun at political figures to tackling .. http://tinyurl.com/cwe34j,S pass
8898342,2009-02-05 11:43:26+00:00, ,1179415570,en,0,0,0,0, ,SMRT Taxis to pass S$306 in road tax rebate savings to cabbies: SINGAPORE : SMRT cabbies will be receiving a one.. http://tinyurl.com/c38fwe,S pass
18327671,2009-02-05 00:57:27+00:00, ,1178213799,en,0,0,0,0, ,Jobs &gt;&gt; Singapore S-pass: TRUCK AND BUS MECHANICS Status -&#x201C;S&#x201D; Pass & &#x201C;Work Per.. http://tinyurl.com/d979wu,S pass
14271227,2009-03-27 08:06:19+00:00, ,1399793426,en,0,0,0,0, ,Is Singapore's MOH going to pass off Gardisil vaccinations as something mandatory for girls?? http://bit.ly/10mYYX,S pass
30191232,2009-04-25 18:43:58+00:00, ,1614596611,en,0,0,0,0, ,"Japan&#39;s number one casual wear brand now in Singapore on Flickr ...: Also, please give way to alighting pass.. http://tinyurl.com/cbvkva",S pass
22768799,2009-04-21 20:31:41+00:00, ,1578252276,en,0,0,0,0, ,New blog post: What are the factors that affect the success of S Pass application in Singapore? http://tinyurl.com/ccc78g,S pass
18495936,2009-04-19 14:50:32+00:00, ,1558268916,en,0,0,0,0, ,new map service has monopoly on Singapore direction-finding: s'goon rd? city hall? queen astrid pk? do pass gothere.sg. do collect $200.,S pass
17646478,2009-04-13 08:35:51+00:00, ,1508077877,en,0,0,0,0, ,The Great Singapore Pass: It¡¯s a Discount You Print Yourself! http://goseasia.about.com/b/a/000184.htm,S pass
32529557,2009-05-26 14:00:31+00:00, ,1923682648,en,0,0,0,0, ,#Singapore: Low-cost carriers soaring: LOW-COST airlines that carried 12.3 per cent of Changi Airport's total pass http://tinyurl.com/o785db,S pass
27712508,2009-05-21 18:46:27+00:00, ,1873978965,en,0,0,0,0, ,Hey travel shopaholics! It's time for the Great Singapore Sale - 70% off famous Orchard Road shops...DL the pass- http://tinyurl.com/plf8h2,S pass
1224191,2009-05-20 14:46:11+00:00, ,1859788287,en,0,0,0,0, ,signed up for my Singapore driver's test in the knick of time before my year runs up.  Hope I pass.,S pass
14740499,2009-05-12 03:13:53+00:00, ,1769902903,en,0,0,0,0, ,[News] S&#8217;porean jailed for raping Chinese national on social visit pass: SINGAPORE: He made sexual a.. http://tinyurl.com/ozakea,S pass
8898342,2009-05-12 00:56:28+00:00, ,1768716381,en,0,0,0,0, ,S'porean jailed for raping Chinese national on social visit pass: SINGAPORE: He made sexual advances on his flat.. http://tinyurl.com/r4zer6,S pass
27360389,2009-05-12 00:45:02+00:00, ,1768619739,en,0,0,0,0, ,S'porean jailed for raping Chinese national on social visit pass: SINGAPORE: He made sexual advances on his flat.. http://tinyurl.com/r4zer6,S pass
14702517,2009-05-11 17:39:07+00:00, ,1765001713,en,0,0,0,0, ,@PoppyD a few years back Singapore had it. It was really really useful. It's a good way to pass the time.,S pass
8948232,2009-05-06 23:12:10+00:00, ,1721626967,en,0,0,0,0, ,"Tip from @SEMScholar - AdTech Singapore runs jun 9-10, exhibit hall pass is free, exhibitors list only 13 co's now.  http://www.ad-tech.com/",S pass
18327671,2009-05-02 21:57:32+00:00, ,1681814436,en,0,0,0,0, ,"Jobs &gt;&gt; SINGAPORE A/C TECH-3 YEARS EXP- S PASS: CONTACT 9710111202.SEND YOUR BIODATA, SCANNED COPIE.. http://tinyurl.com/c62yp9",S pass
5464902,2009-06-26 04:40:03+00:00, ,2339337251,en,0,0,0,0, ,"@newsjunkie365 it's making folk nervous, that ship. last week there was a report it might pass by Singapore. imagine the tension in SE Asia.",S pass
33427655,2009-06-25 07:17:09+00:00, ,2323277707,en,0,0,0,0, ,It¡¯s not true that you can¡¯t get a job in Singapore unless you pass through an employment agency.,S pass
24050704,2009-06-24 22:00:35+00:00, ,2317000763,en,0,0,0,0, ,@vgladden meh... the frustration will pass. hopefully i'll get phone call soon. airon's in singapore now.,S pass
