author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border closure,,,,
205298307,2011-02-07 09:38:25+00:00, ,3.45465E+16,en,0,0,0,0, ,DTN Singapore: Thai-Cambodia border closure can cost $650k-975k a month: Bangkok (The Nation-Thailand/ANN) - Tha... http://bit.ly/e45f5N,border closure,,,,
770005,2012-02-03 17:49:55+00:00, ,1.65492E+17,en,0,0,0,0, ,"Another Page turns over: Soon after blogging about Border‚Äôs closure in Singapore, we were hit with news that ano... http://t.co/18hV7E3z",border closure,,,,
9696162,2016-09-02 14:47:17+00:00, ,7.71721E+17,en,0,0,0,2, ,"RT @Indonesia: ""No Batam-Singapore border closure over Zika, govt says - Jakarta Post"" https://t.co/bBzikNPDfS",border closure,,,,
1492801,2016-09-02 14:41:18+00:00, ,7.7172E+17,en,0,0,0,2, ,"""No Batam-Singapore border closure over Zika, govt says - Jakarta Post"" https://t.co/bBzikNPDfS",border closure,,,,
1.0362E+18,2019-10-20 11:17:06+00:00, ,1.18588E+18,en,0,0,0,0, ,"@ogundamisi Closure of our Border is one of the best policies of PMB, all borders should remained closed like China.Malasia, Singapore and many other countries did to help their country productions. Legitimate businesses were allowed through our Sea and Air ports",border closure,,,,
8.82539E+17,2019-11-28 11:47:08+00:00, ,1.20002E+18,en,0,0,0,2, ,"RT @Temitopeojo13: Nigeria Government copy hate speech bill from Singapore but can't copy its Educational system. 
They copy Border Closure‚Ä?
1188495660510777344,2019-11-28 09:13:24+00:00, ,1199979595900039168,en,0,0,0,2, ,RT @Temitopeojo13: Nigeria Government copy hate speech bill from Singapore but can't copy its Educational system. ",border closure,,,,
2629705047,2019-11-28 08:37:18+00:00, ,1.19997E+18,en,1,0,0,2, ,"Nigeria Government copy hate speech bill from Singapore but can't copy its Educational system. 
They copy Border Closure from China but can't copy its Death sentence 4 d Looters.

Awon people yi ti ya were

#SayNoToSocialMediaBill 
#SayNoToHateSpeechBill 
#OccupyNigeriaSeasonII",border closure,,,,
297011418,2019-11-28 08:26:19+00:00, ,1.19997E+18,en,0,0,1,0, ,"@AjuriNgelale wrote a subliminal poetic thread some weeks ago to justify the border closure

He said it‚Äôs similar write-ups Lee Kwan You wrote to justify border closure in Singapore 

Alas! All his cockney op-eds aren‚Äôt being watered down as an abysmal of the 21st century https://t.co/hjpqaGUYoW",border closure,,,,
7.87741E+17,2019-11-27 18:17:42+00:00, ,1.19975E+18,en,1,0,0,0, ,"#NoToHateSpeechBill
#NoToSocialMediaBill

Nigeria Government copy hate speech bill from Singapore but can't copy its Educational system.

 They copy Border Closure from China but can't copy its Death sentence for the Looters.

Copied",border closure,,,,
179088871,2019-11-27 00:07:24+00:00, ,1.19948E+18,en,3,0,1,0, ,"Nigeria Government copy hate speech bill from Singapore but can't copy its Educational system.

 They copy Border Closure from China but can't copy its Death sentence for the Looters.
üôÑüôÑ",border closure,,,,
1.04617E+18,2019-11-26 19:38:36+00:00, ,1.19941E+18,en,0,0,0,0, ,"Do u know what u r tweeting Mr Man? They copy Antisocial media from Singapore but they don't copy their educational system, they copy border closure from China but they don't copy to kill the looters through hanging. Now u r telling us they right! https://t.co/PQ9nrCzpVr",border closure,,,,
83793820,2019-11-26 00:33:32+00:00, ,1.19912E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
