author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,foreign talents
612233,2008-01-28 14:43:35+00:00, ,650959372,en,0,0,0,0, ,New blog post: Singapore police stops complains going to foreign talents http://www.themediaslut.com/2008/01/893,foreign talents
8898342,2008-02-15 09:33:48+00:00, ,715302342,en,0,0,0,0, ,Foreign Sports Talents Scheme to be improved: SINGAPORE: The Foreign Sports Talents Scheme is here t.. http://tinyurl.com/3ycpg2,foreign talents
15716969,2008-08-17 10:31:21+00:00, ,890106357,en,0,0,0,0, ,@SanNakji well singapore might wins her first gold tonite..ping pong..courtesy of our foreign talents from china...,foreign talents
7151432,2008-10-08 05:04:38+00:00, ,950885085,en,0,0,0,0, ,"Somehow in Singapore, PAP tends to value Foreign Talents more than Singaporeans. We are 2nd/3rd class citizen in our own country. WTF!",foreign talents
17112040,2009-02-16 23:05:28+00:00, ,1216990890,en,0,0,0,0, ,"Promising shuttler quits: ONE of Singapore's rising foreign badminton talents has quit the national team, compla.. http://tinyurl.com/ag4473",foreign talents
5854302,2009-03-07 17:14:23+00:00, ,1293276703,en,0,0,0,0, ,"@isfullofcrap Also: ever considered a move to Singapore? we could use sane, talented foreign talents in a lot of things.",foreign talents
15787933,2009-04-06 03:54:51+00:00, ,1460882138,en,0,0,0,0, ,The funny thing is those following @sgjobs don't look like they are from Singapore. Looks like jobs are more for foreign talents LOL,foreign talents
3302471,2009-06-18 08:35:06+00:00, ,2219867777,en,0,0,0,0, ,"according to the news, 25% of singapore is now made up of foreign talents. We're now officially going foreign-pore. no more sing-a-pore!",foreign talents
16525258,2009-08-20 03:33:02+00:00, ,3420209981,en,0,0,0,0, ,Where can I get the statistic of foreign talents in Singapore by nationality?,foreign talents
20221897,2009-08-17 11:27:10+00:00, ,3360047980,en,0,0,0,0, ,"Taiwan 's Mr Ma need more Good adviser, maybe he should try Foreign talents, like Singapore.",foreign talents
20221897,2009-08-15 13:57:31+00:00, ,3328216065,en,0,0,0,0, ,"Taiwan 's Mr Ma need more Good adviser, maybe he should try Foreign talents, like Singapore.",foreign talents
28341342,2009-08-14 21:12:50+00:00, ,3315757819,en,0,0,0,0, ,Singapore welcome foreign talents with open arms?: SINGAPORE: Minister Mentor Lee Kuan Yew has highlighted two c.. http://twurl.nl/dlxgbw,foreign talents
23154535,2009-09-17 02:52:00+00:00, ,4045541143,en,0,0,0,0, ,Jeff's Tfeeds - You: Foreign Talents in Singapore http://bit.ly/40pwj,foreign talents
14521404,2009-10-29 02:51:38+00:00, ,5249058556,en,0,0,0,0, ,Sentosa is a mini-singapore now. overcrowded. lots of foreign talents and foreign workers. slow traffic. lots of cars. http://is.gd/3E4jI,foreign talents
16581808,2009-10-19 19:08:28+00:00, ,4998017620,en,0,0,0,0, ,"@denogoh depends on industries but singapore likes foreign talents ;) we can talk more abt it in brunei. i'm quite excited, maiden trip haha",foreign talents
25426756,2009-10-16 11:45:19+00:00, ,4913787183,en,0,0,0,0, ,"Goodbye Mumbai, the Horny City. Hello Singapore, the Land of Foreign Talents.",foreign talents
37926314,2009-12-18 02:50:11+00:00, ,6784027970,en,0,0,0,0, ,@gracelow with the foreign talents coming to singapore.. omgs.,foreign talents
52671882,2010-01-29 01:30:42+00:00, ,8347559998,en,0,0,0,0, ,Singapore and its foreign talents: A love-hate relationship,foreign talents
61163902,2010-01-17 14:20:25+00:00, ,7864996367,en,0,0,0,0, ,Singapore has a lot of "foreign talents".,foreign talents
44583150,2010-01-17 05:18:25+00:00, ,7853772569,en,0,0,0,0, ,"IMM is swamped! Singapore need foreign talents, not workers!!.. though they pull the cost of living lower, they pull the social gap wider..",foreign talents
85991330,2010-02-25 18:55:22+00:00, ,9638395649,en,0,0,0,0, ,What Is Your Opinion Of Foreign Talents Into Singapore Sports?: A generation or two or three is fine. However it i... http://bit.ly/9Do5Hz,foreign talents
102979716,2010-02-22 13:21:59+00:00, ,9475549725,en,0,0,0,0, ,"Adam Khoo said Expats Foreign Talents will Rule Singapore | Wayang ...: For example in 2009, the top Primary... http://tinyurl.com/yehgfh5",foreign talents
43754320,2010-02-22 11:52:11+00:00, ,9472832931,en,0,0,0,0, ,Adam Khoo said Expats Foreign Talents will Rule Singapore | Wayang ... http://bit.ly/dCFfUX,foreign talents
23154535,2010-02-22 07:02:19+00:00, ,9466142477,en,0,0,0,0, ,Jeff's Tfeeds - You: Adam Khoo said Expats Foreign Talents will Rule Singapore:  http://bit.ly/cuVUc8,foreign talents
27360389,2010-02-22 07:01:56+00:00, ,9466132350,en,0,0,0,0, ,"Adam Khoo said Expats Foreign Talents will Rule Singapore: 
Adam Khoo is a well known Singaporean entrepreneur who... http://bit.ly/9oezcz",foreign talents
49616528,2010-02-10 06:33:56+00:00, ,8891359392,en,0,0,0,0, ,The raw truth is the govt prefers the foreign talents.:-( RT@singapore_news Many Singaporeans want to migrate?Why? http://bit.ly/dqodli,foreign talents
